Landmark,lat,long,score,link
"Tavoro Falls",-16.826231,-179.876403,0.42418712,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-08-30_sUm12-vOeX.jpg
"Tossa de Mar Castle",41.717702,2.9331780000000003,0.23920396,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-05-01_2IvRZdPOcF.jpg
"Railay Beach",8.029314,98.765716,0.56968784,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-03-23_0lQmpuvORe.jpg
"Railay Beach",8.010786,98.837643,0.50440514,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-03-23_0lQmpuvORe.jpg
"Semuc Champey",15.566667,-89.958801,0.86235344,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-02-07_BBfTEApPOUP.jpg
"Waterfront at Cobh",51.849831,-8.294699,0.47039589,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-12-15__UJhFrPOSD.jpg
"Kerið",64.041259,-20.885353,0.53761792,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-12-22_w7XYGvvOV6.jpg
"Railay Beach",8.008151999999999,98.840217,0.73406684,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-08-07_6F97tnPOQC.jpg
"Skógafoss",63.529722,-19.513715,0.28331327,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-10-26_unzAKiPOfm.jpg
"White House",38.897312,-77.036564,0.68666387,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2013-08-19_dM83LuPOSB.jpg
"White House",38.895909,-77.032871,0.23383395,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2013-08-19_dM83LuPOSB.jpg
"Palace Episcopal",36.720093999999996,-4.420203,0.5217495,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-03-10_lXY3DiPOY9.jpg
"Semuc Champey",15.503972,-90.390014,0.58149028,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-02-04_BBYYQXSvOWQ.jpg
"Cliffs of Moher",52.972254,-9.428501,0.36415535,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-01-16_BAnM7tEvOUW.jpg
"Cliffs of Moher",53.008121,-9.403996,0.25056618,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-01-16_BAnM7tEvOUW.jpg
"Flume Gorge",44.10114652069536,-71.677454,0.1960686,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-06-10_3xQ1IFPOb9.jpg
"Edinburgh Castle",55.948743,-3.199747,0.43469363,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2013-12-29_ihS6O8POeA.jpg
"Edinburgh Castle",55.957272,-3.196334,0.15245743,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2013-12-29_ihS6O8POeA.jpg
"Cumhuriyet Anıtı",41.036951,28.985088,0.50603592,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-04-20_nAzPtZPOek.jpg
"Edinburgh Castle",55.948743,-3.199747,0.65638864,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2013-12-29_igPpiPPOYa.jpg
"Cascade Langevin",-21.317842,55.644379,0.31664667,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-07-01_4mEYWUPOcd.jpg
"Krýsuvík",63.892990406015166,-22.057572,0.39622509,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-10-17_uRVKxnPOWI.jpg
"White House",38.897312,-77.036564,0.78030092,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-12-06_wR34hhPOXi.jpg
"White House",38.8913,-77.032914,0.75952393,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-12-06_wR34hhPOXi.jpg
"White House",38.895909,-77.032871,0.73831123,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-12-06_wR34hhPOXi.jpg
"White House",38.902255,-77.037162,0.70340008,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-12-06_wR34hhPOXi.jpg
"Lloret de Mar",41.720453,2.934551,0.28209615,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-05-02_2L0YT_POX-.jpg
"Rustem Pasha (Rustem Pasa) Mosque",41.017632,28.968726,0.14435782,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-04-30_nadPuEvOYS.jpg
"Reykjavík",64.14154980433838,-21.925964,0.36744049,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-11-01_u3ozU2vOTq.jpg
"Skansen Kronan",57.696212,11.954991999999999,0.38192776,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-07-19_5UZa7EvOWV.jpg
"Church of the Holy Sepulchre",31.778434676707153,35.229671,0.29814756,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-16_tAfOqfvOc5.jpg
"Church of the Holy Sepulchre",31.757363,35.232639,0.1755072,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-16_tAfOqfvOc5.jpg
"Dome of the Rock",31.785968,35.2007,0.88170522,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-11_szyAWjPORE.jpg
"Dome of the Rock",31.777873,35.235386,0.85402542,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-11_szyAWjPORE.jpg
"Dome of the Rock",31.786332,35.222167,0.45657781,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-11_szyAWjPORE.jpg
"Milan Cathedral",45.464239,9.190171,0.73483956,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-09-24_tU9re2vOQS.jpg
"Nohoch Mul Pyramid",20.491266,-87.734695,0.26730761,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-03-10_BCyGjVjvOdi.jpg
"Templo de San Antonio",21.885195,-102.291631,0.28765881,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-12-05_-67VlsvOT-.jpg
"Edinburgh Castle",55.948743,-3.199747,0.45425263,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-03-12_0Itxy8vOci.jpg
"Edinburgh Castle",55.94816654144937,-3.205003,0.35369536,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-03-12_0Itxy8vOci.jpg
"Whistler Blackcomb",50.096666,-122.886457,0.43449715,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-01-19_yDHIFXPOU_.jpg
"Berlin Wall",52.535059,13.389502,0.58811855,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-03-06_lNM4BFvOTN.jpg
"Whistler Blackcomb",50.096666,-122.886457,0.45409462,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-12-12__Mm1lQvORn.jpg
"Thousand Columns",20.682938999999998,-88.567883,0.56971765,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-11-24_-eyQ9ivOUL.jpg
"Granada Cathedral",37.176181,-3.599643,0.85076261,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-02-16_ke44RHPOXx.jpg
"Hof, Iceland",63.906926999999996,-16.706386,0.72266197,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-02-11_y-490ovOaq.jpg
"Emerald Lake",51.440099,-116.539449,0.82054174,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-12-30__7WOOEvOW3.jpg
"Cannon",27.527302,-107.81724899999999,0.2594313,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-01-06_BANAIaDvORL.jpg
"Cenote",20.665954,-88.244929,0.54142272,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-02-06_BBdeoe_vOaS.jpg
"Bow River",51.399471,-116.12750599999998,0.46181208,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2014-08-15_rusOd0POaA.jpg
"Smögen Pier",58.354954896309906,11.218318,0.70954204,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2015-07-03_4rjOXYPOdw.jpg
"Chichen Itza",20.684293999999998,-88.570179,0.59683383,https://storage.googleapis.com/cloud-vision-instagram/expertvagabond/2016-02-05_BBaEBkjPOZO.jpg
