Landmark,lat,long,score,link
"Times Square",40.756135,-73.986525,0.64355195,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-09_htYz5PPiNZ.jpg
"Times Square",40.75675,-73.986193,0.60054666,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-09_htYz5PPiNZ.jpg
"Times Square",40.756213,-73.986997,0.47084659,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-12-09_htYz5PPiNZ.jpg
"Statue of Liberty",40.689261,-74.044482,0.97772211,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-01_e7_PmMPiL0.jpg
"Liberty",40.689074,-74.044502,0.70236319,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-01_e7_PmMPiL0.jpg
"Liberty Island",40.689367,-74.045105,0.55471861,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-01_e7_PmMPiL0.jpg
"Chittenango Falls State Park",42.979237,-75.841766,0.30273923,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-04-22_YaMdfyviFF.jpg
"Anchor Bar",42.902395,-78.86876,0.60466218,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-12-05_wOsp3lPiGM.jpg
"Central Park",40.786455,-73.963222,0.4475902,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-30_gGtXnzviMS.jpg
"Brooklyn Bridge",40.705726,-73.996953,0.2507048,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-30_gGtXnzviMS.jpg
"Central Park",40.786455,-73.963222,0.44334099,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-01_ip5SQqPiKG.jpg
"Cabrera Bay",39.152629,2.931976,0.23375234,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-01_ip5SQqPiKG.jpg
"Bannerman Castle",41.456061,-73.988628,0.99026251,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-07-27_q9P072PiCo.jpg
"Minnewaska State Park Preserve",41.734349,-74.236875,0.75071317,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-16_fjgmFEPiHR.jpg
"Central Park",40.786455,-73.963222,0.29361746,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-01-13_jH-6P0viIa.jpg
"Barack Obama",40.722016,-74.0475082397461,0.3621752,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-02-17_khmwHLviOr.jpg
"5 Pointz",40.744976,-73.945432,0.87205976,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-03-10_lYDVJyPiFO.jpg
"Federal Hall National Memorial",40.707078,-74.010472,0.53868866,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-08-17_rz-GvhviDZ.jpg
"Radio City Music Hall",40.759951,-73.980259,0.5960089,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2012-11-30_SqpQg4viLh.jpg
"Radio City Music Hall",40.759781,-73.980436,0.45513383,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2012-11-30_SqpQg4viLh.jpg
"Ausable Chasm",44.528393,-73.466305,0.3732461,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-08-29_sSv68gviHB.jpg
"Triborough Bridge",40.779851,-73.924049,0.81703448,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-09-16_eU1BAYPiFx.jpg
"Whiteface Mountain (New York)",44.366692,-73.903312,0.66446626,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-07-28_rArxLGPiJi.jpg
"Statue of Liberty",40.689261,-74.044482,0.72395563,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-11-11_glxY-HviP_.jpg
